[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
0.754	0.001
0.755	0.004
0.756	-0.020
0.757	0.013
0.758	0.014
0.759	0.023
0.760	0.029
0.761	0.012
0.762	0.005
0.763	-0.009
0.764	-0.023
0.765	-0.004
0.766	-0.011
0.767	-0.011
0.768	0.002
0.770	0.013
0.771	-0.007
0.771	-0.014
0.772	0.030
0.773	-0.001
0.774	-0.042
0.775	0.002
0.776	0.015
0.777	0.006
0.778	0.011
0.779	-0.000
0.780	0.042
0.781	0.017
0.782	0.032
0.783	-0.000
0.784	-0.003
0.785	-0.019
0.786	-0.014
0.788	0.013
0.789	-0.002
0.790	0.017
0.790	0.033
0.791	0.010
0.792	0.013
0.793	-0.008
0.794	-0.016
0.795	0.029
0.796	-0.015
0.797	0.003
0.798	-0.024
0.799	0.003
0.800	0.001
0.802	-0.003
0.803	-0.012
0.803	0.001
0.804	0.008
0.805	0.021
0.806	0.013
0.807	-0.005
0.808	0.015
0.809	0.020
0.810	0.011
0.811	-0.006
0.812	0.017
0.813	0.025
0.814	0.020
0.815	-0.004
0.816	0.015
0.817	0.013
0.818	-0.002
0.819	0.009
0.820	-0.008
0.821	0.017
0.822	-0.008
0.823	-0.009
0.824	-0.008
0.825	0.019
0.826	0.012
0.827	-0.005
0.828	0.015
0.829	-0.004
0.830	0.016
0.831	-0.003
0.832	0.003
0.833	0.015
0.834	-0.010
0.835	0.037
0.836	-0.010
0.837	0.034
0.838	0.000
0.839	-0.012
0.840	0.006
0.841	0.016
0.842	0.011
0.843	-0.002
0.844	-0.005
0.845	-0.008
0.846	-0.006
0.847	0.010
0.848	0.011
0.849	0.009
0.850	0.003
0.851	0.018
0.853	0.019
0.853	0.005
0.854	-0.006
0.855	0.002
0.856	0.011
0.857	-0.005
0.858	-0.034
0.859	0.005
0.860	0.002
0.861	-0.006
0.862	0.024
0.863	0.039
0.864	0.022
0.865	0.025
0.866	0.027
0.867	0.004
0.868	-0.011
0.869	-0.030
0.870	0.006
0.871	0.009
0.872	0.002
0.873	-0.009
0.874	0.027
0.875	-0.001
0.876	0.013
0.877	-0.003
0.878	-0.001
0.879	0.002
0.880	0.015
0.881	0.006
0.882	-0.004
0.883	-0.026
0.884	0.004
0.885	0.013
0.886	0.003
0.887	0.013
0.888	0.010
0.889	-0.000
0.890	0.010
0.891	0.005
0.892	-0.012
0.893	-0.013
0.894	-0.024
0.895	0.000
0.896	0.006
0.897	-0.004
0.898	0.004
0.899	0.013
0.900	0.009
0.901	0.006
0.902	-0.009
0.903	-0.013
0.904	0.031
0.905	-0.010
0.906	0.007
0.907	0.014
0.908	0.001
0.909	-0.001
0.910	0.029
0.911	-0.005
0.912	-0.012
0.913	-0.006
0.914	0.022
0.915	0.012
0.916	0.015
0.917	0.006
0.918	-0.005
0.919	-0.012
0.921	0.026
0.921	0.013
0.922	0.010
0.923	-0.020
0.924	-0.011
0.925	-0.007
0.926	0.018
0.927	0.015
0.928	-0.008
0.929	0.002
0.930	0.042
0.931	0.042
0.932	0.010
0.933	0.028
0.934	0.042
0.935	-0.003
0.936	-0.005
0.937	0.013
0.938	0.005
0.939	0.001
0.940	0.000
0.941	0.003
0.942	-0.001
0.943	0.031
0.944	0.008
0.945	0.007
0.946	0.022
0.947	0.015
0.948	0.016
0.949	0.002
0.950	0.001
0.951	0.013
0.953	0.013
0.953	-0.012
0.954	0.012
0.955	-0.003
0.956	0.017
0.957	0.021
0.958	0.024
0.959	0.015
0.960	0.018
0.961	0.028
0.962	0.013
0.963	0.001
0.964	-0.017
0.965	0.026
0.966	-0.007
0.967	-0.013
0.968	0.011
0.969	0.030
0.971	-0.012
0.971	-0.010
0.972	-0.011
0.973	-0.026
0.974	-0.013
0.975	0.020
0.976	0.021
0.977	0.017
0.978	-0.012
0.979	0.013
0.980	-0.011
0.981	0.005
0.982	0.015
0.983	0.033
0.984	0.011
0.985	0.008
0.986	0.001
0.987	0.005
0.988	0.011
0.989	0.013
0.990	-0.006
0.991	-0.003
0.992	0.018
0.993	0.003
0.994	0.009
0.995	0.031
0.996	0.037
0.997	0.031
0.998	0.025
0.999	0.031
1.000	0.007
1.001	-0.004
1.002	0.001
1.003	-0.013
1.004	-0.007
1.005	-0.007
1.006	-0.008
1.007	-0.007
1.008	0.027
1.009	0.006
1.010	0.017
1.011	0.018
1.012	0.007
1.013	-0.005
1.014	0.003
1.015	-0.003
1.016	-0.004
1.017	-0.002
1.018	-0.006
1.019	0.018
1.020	-0.005
1.021	-0.006
1.022	0.018
1.023	0.005
1.024	-0.001
1.025	0.006
1.026	0.019
1.027	0.018
1.028	0.014
1.029	0.021
1.030	0.015
1.031	0.010
1.032	0.004
1.033	0.007
1.034	0.011
1.035	0.014
1.036	0.014
1.037	0.007
1.038	-0.003
1.039	-0.004
1.040	-0.004
1.041	0.007
1.042	0.016
1.043	-0.006
1.044	-0.009
1.045	-0.013
1.046	-0.017
1.047	-0.023
1.048	-0.011
1.049	-0.008
1.050	0.005
1.051	0.008
1.052	0.007
1.053	0.001
1.054	-0.003
1.055	-0.003
1.056	-0.001
1.057	0.016
1.058	-0.007
1.059	0.006
1.060	0.006
1.061	-0.002
1.062	0.005
1.063	0.015
1.064	0.023
1.065	0.001
1.066	0.007
1.067	-0.008
1.068	-0.021
1.069	-0.003
1.071	-0.008
1.072	-0.006
1.072	-0.005
1.073	-0.002
1.074	-0.012
1.075	0.008
1.076	0.014
1.077	0.004
1.078	0.027
1.079	0.012
1.080	0.009
1.081	0.004
1.082	0.002
1.083	0.002
1.084	0.007
1.085	-0.012
1.086	0.008
1.087	0.027
1.088	0.017
1.089	0.003
1.090	-0.001
1.091	-0.009
1.092	-0.004
1.093	-0.009
1.094	0.004
1.095	-0.004
1.096	-0.008
1.097	-0.010
1.098	0.004
1.099	-0.003
1.100	-0.001
1.101	-0.019
1.103	-0.029
1.104	-0.015
1.104	0.016
1.105	0.026
1.106	0.005
1.107	0.046
